Status_of_existing_checking_account,Duration,Credit_history,Purpose,Credit_amount,Savings_account_bonds,Present_employment_since,Installment_rate,Personal_status_sex,Other_debtors_guarantors,Present_residence_since,Property,Age,Other_installment_plans,Housing,Number_of_existing_credits,Job,Number_of_people_liable,Telephone,Foreign_worker,Credit_risk
< 0 DM,6,Critical account,Radio/TV,1169,Unknown/No savings,>= 7 years,4,Male single,None,4,Real estate,67,None,Own,2,Skilled employee,1,"Yes, registered",Yes,Good
0 <= ... < 200 DM,48,Existing credits paid back,Radio/TV,5951,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,2,Real estate,22,None,Own,1,Skilled employee,1,None,Yes,Bad
No checking account,12,Critical account,Education,2096,< 100 DM,4 <= ... < 7 years,2,Male single,None,3,Real estate,49,None,Own,1,Unskilled-resident,2,None,Yes,Good
< 0 DM,42,Existing credits paid back,Furniture/equipment,7882,< 100 DM,4 <= ... < 7 years,2,Male single,Guarantor,4,Savings/Life insurance,45,None,For free,1,Skilled employee,2,None,Yes,Good
< 0 DM,24,Delayed payments,Car (new),4870,< 100 DM,1 <= ... < 4 years,3,Male single,None,4,Unknown/No property,53,None,For free,2,Skilled employee,2,None,Yes,Bad
No checking account,36,Existing credits paid back,Education,9055,Unknown/No savings,1 <= ... < 4 years,2,Male single,None,4,Unknown/No property,35,None,For free,1,Unskilled-resident,2,"Yes, registered",Yes,Good
No checking account,24,Existing credits paid back,Furniture/equipment,2835,500 <= ... < 1000 DM,>= 7 years,3,Male single,None,4,Savings/Life insurance,53,None,Own,1,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,36,Existing credits paid back,Car (used),6948,< 100 DM,1 <= ... < 4 years,2,Male single,None,2,Car/other,35,None,Rent,1,Management/self-employed,1,"Yes, registered",Yes,Good
No checking account,12,Existing credits paid back,Radio/TV,3059,>= 1000 DM,4 <= ... < 7 years,2,Male divorced/separated,None,4,Real estate,61,None,Own,1,Unskilled-resident,1,None,Yes,Good
0 <= ... < 200 DM,30,Critical account,Car (new),5234,< 100 DM,Unemployed,4,Male married/widowed,None,2,Car/other,28,None,Own,2,Management/self-employed,1,None,Yes,Bad
0 <= ... < 200 DM,12,Existing credits paid back,Car (new),1295,< 100 DM,< 1 year,3,Female div/sep/married,None,1,Car/other,25,None,Rent,1,Skilled employee,1,None,Yes,Bad
< 0 DM,48,Existing credits paid back,Business,4308,< 100 DM,< 1 year,3,Female div/sep/married,None,4,Savings/Life insurance,24,None,Rent,1,Skilled employee,1,None,Yes,Bad
0 <= ... < 200 DM,12,Existing credits paid back,Radio/TV,1567,< 100 DM,1 <= ... < 4 years,1,Female div/sep/married,None,1,Car/other,22,None,Own,1,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,24,Critical account,Car (new),1199,< 100 DM,>= 7 years,4,Male single,None,4,Car/other,60,None,Own,2,Unskilled-resident,1,None,Yes,Bad
< 0 DM,15,Existing credits paid back,Car (new),1403,< 100 DM,1 <= ... < 4 years,2,Female div/sep/married,None,4,Car/other,28,None,Rent,1,Skilled employee,1,None,Yes,Good
< 0 DM,24,Existing credits paid back,Radio/TV,1282,100 <= ... < 500 DM,1 <= ... < 4 years,4,Female div/sep/married,None,2,Car/other,32,None,Own,1,Unskilled-resident,1,None,Yes,Bad
No checking account,24,Critical account,Radio/TV,2424,Unknown/No savings,>= 7 years,4,Male single,None,4,Savings/Life insurance,53,None,Own,2,Skilled employee,1,None,Yes,Good
< 0 DM,30,No credits/all paid,Business,8072,Unknown/No savings,< 1 year,2,Male single,None,3,Car/other,25,Bank,Own,3,Skilled employee,1,None,Yes,Good
0 <= ... < 200 DM,24,Existing credits paid back,Car (used),12579,< 100 DM,>= 7 years,4,Female div/sep/married,None,2,Unknown/No property,44,None,For free,1,Management/self-employed,1,"Yes, registered",Yes,Bad
No checking account,24,Existing credits paid back,Radio/TV,3430,500 <= ... < 1000 DM,>= 7 years,3,Male single,None,2,Car/other,31,None,Own,1,Skilled employee,2,"Yes, registered",Yes,Good
No checking account,9,Critical account,Car (new),2134,< 100 DM,1 <= ... < 4 years,4,Male single,None,4,Car/other,48,None,Own,3,Skilled employee,1,"Yes, registered",Yes,Good
< 0 DM,6,Existing credits paid back,Radio/TV,2647,500 <= ... < 1000 DM,1 <= ... < 4 years,2,Male single,None,3,Real estate,44,None,Rent,1,Skilled employee,2,None,Yes,Good
< 0 DM,10,Critical account,Car (new),2241,< 100 DM,< 1 year,1,Male single,None,3,Real estate,48,None,Rent,2,Unskilled-resident,2,None,No,Good
